Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java, 367, 5, 0, 5, 51836, 1734, 22.557007, 53282, 1732, 23.186249, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java, 186, 5, 0, 5, 11290, 1734, 5.6933937, 13522, 1732, 6.818961, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java, 587, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java, 106, 2, 0, 2, 3927, 514, 11.9, 3939, 514, 11.936363, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java, 155, 4, 0, 4, 10785, 1734, 5.836039, 12474, 1732, 6.75, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java, 58, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java, 105, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java, 238, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java, 72, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java, 125, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java, 99, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java, 184, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java, 50, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java, 149, 1, 0, 1, 138, 66, 13.8, 129, 66, 12.9, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java, 37, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java, 80, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java, 134, 3, 0, 3, 51299, 1734, 25.295364, 52972, 1732, 26.120316, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java, 38, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java, 161, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java, 254, 2, 0, 2, 2551, 514, 17.83916, 2655, 514, 18.566433, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java, 28, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java, 93, 4, 0, 4, 52467, 1734, 23.422768, 54724, 1732, 24.430357, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java, 65, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java, 552, 7, 0, 7, 14216, 1734, 6.3806105, 15766, 1732, 7.0763016, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java, 197, 6, 0, 6, 11678, 1734, 5.5795507, 13099, 1732, 6.2584805, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java, 205, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, false
